# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
NEG	r	-	32	23	0.05	10.00	17.26	0.08	0.10	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 ZeroExtend64x1.0 ZeroExtend32x1.0 SaveFlagsx1.0
MOV	m,r	[b+i*s+d]	64	47	0.10	4.83	4.32	0.08	0.05	0.02	0.01	LoadUniformx1.5 AdvancePCx0.7 GetOperandx0.7 StoreMemoryx0.7 BitCastx0.5
XOR	r,i	-	32	22	0.05	10.27	12.14	0.08	0.07	0.01	0.01	LoadImmx2.0 StoreUniformx1.9 ZeroExtend32x1.0 ZeroExtend64x1.0 ClearFlagsx1.0
MOV	m,i	[rip]	32	45	0.10	5.00	5.60	0.08	0.06	0.00	0.00	LoadImmx1.4 StoreMemoryx1.0 AdvancePCx1.0 ZeroExtend32x1.0 GetOperandx0.6
TEST	r,i	-	16	25	0.05	9.00	15.00	0.08	0.09	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 ClearFlagsx1.0 Andx1.0
CMP	m,r	[rip]	64	28	0.06	8.00	16.29	0.08	0.11	0.00	0.00	LoadImmx1.0 StoreUniformx1.0 AdvancePCx1.0 Subx1.0 LoadMemoryx1.0
JAE	imm	-	32	65	0.14	3.42	4.95	0.08	0.08	0.50	0.28	TestZerox0.8 TestFlagsx0.8 LoadImmx0.8 Xorx0.6 AdvancePCx0.5
FSTP	r	-	32	44	0.10	5.00	31.00	0.08	0.33	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
SHUFPS	r,r	-	128	20	0.04	11.00	64.25	0.08	0.31	0.00	0.00	LoadUniformx2.2 StoreUniformx2.0 CallLambdax2.0 LoadImmx2.0 BitCastx1.8
CMP	m,i	[b+d]	64	24	0.05	9.00	16.50	0.08	0.10	0.01	0.02	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Subx1.0 LoadMemoryx1.0
SHR	r,i	-	16	11	0.02	19.00	18.00	0.08	0.05	0.00	0.00	Andx3.0 StoreUniformx2.0 LsrValuex2.0 LoadImmx2.0 BindLabelx1.0
JB	imm	-	32	68	0.15	3.06	4.35	0.08	0.07	0.18	0.09	TestNotZerox0.6 TestFlagsx0.6 LoadImmx0.6 Xorx0.6 AdvancePCx0.5
FCOMI	r,r	-	32	8	0.02	26.00	69.00	0.08	0.13	0.00	0.00	LoadImmx6.0 Andx3.0 SaveFlagsx3.0 Orx2.0 LsrImmx2.0
LAHF	-	-	0	8	0.02	25.00	36.00	0.07	0.07	0.00	0.00	Orx6.0 LslImmx5.0 TestFlagsx5.0 Andx2.0 LoadUniformx2.0
DIV	r	-	64	22	0.05	9.00	59.41	0.07	0.32	0.00	0.01	BitCastx2.1 StoreUniformx2.0 CallLambdax2.0 AdvancePCx1.0 ZeroExtend64x1.0
ADD	r,i	-	8	15	0.03	13.00	15.00	0.07	0.05	0.00	0.00	StoreUniformx2.0 LslImmx2.0 ZeroExtend32x2.0 Addx2.0 LoadImmx2.0
PADDQ	r,r	-	128	39	0.09	5.00	2.72	0.07	0.03	0.01	0.00	BitCastx1.3 AdvancePCx1.0 VecAddx1.0 StoreUniformx1.0 LoadUniformx0.7
FSQRT	-	-	0	39	0.09	5.00	31.00	0.07	0.30	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
FNINIT	-	-	0	39	0.09	5.00	30.00	0.07	0.29	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
MOVD	r,m	[b+d]	128	24	0.05	8.00	7.00	0.07	0.04	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 ZeroExtend64x1.0 LoadMemoryx1.0
CMP	r,m	[rip]	64	36	0.08	5.33	10.86	0.07	0.10	0.01	0.01	LoadImmx1.0 StoreUniformx0.7 AdvancePCx0.7 Subx0.7 LoadMemoryx0.7
MAXPS	r,m	[rip]	128	32	0.07	6.00	10.00	0.07	0.08	0.00	0.00	GetOperandx1.0 LoadMemoryx1.0 AdvancePCx1.0 VecFMinMaxx1.0 StoreUniformx1.0
MULPS	r,m	[rip]	128	32	0.07	6.00	199.00	0.07	1.56	0.00	0.00	AdvancePCx1.0 VecFMulx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0
MINPS	r,m	[rip]	128	32	0.07	6.00	10.00	0.07	0.08	0.00	0.00	GetOperandx1.0 LoadMemoryx1.0 AdvancePCx1.0 VecFMinMaxx1.0 StoreUniformx1.0
ADDPS	r,m	[rip]	128	32	0.07	6.00	199.00	0.07	1.56	0.00	0.00	AdvancePCx1.0 VecFAddx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0
DIVPS	r,m	[rip]	128	32	0.07	6.00	199.00	0.07	1.56	0.00	0.00	AdvancePCx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0 VecFDivx1.0
TEST	m,i	[b]	32	19	0.04	10.00	15.37	0.07	0.07	0.00	0.01	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 ClearFlagsx1.0 Andx1.0
CMPXCHG	m,r	[rip]	32	11	0.02	17.00	56.91	0.07	0.15	0.00	0.01	StoreUniformx2.0 Andx2.0 LoadImmx1.9 BitExtractx1.5 ZeroExtend32x1.0
MOV	m,i	[b]	32	35	0.08	5.31	4.63	0.07	0.04	0.01	0.01	StoreMemoryx0.8 GetOperandx0.8 ZeroExtend32x0.8 AdvancePCx0.8 LoadImmx0.8
SAR	r,i	-	32	12	0.03	14.75	16.25	0.06	0.05	0.00	0.00	LoadImmx2.2 StoreUniformx1.5 AsrValuex1.5 Andx1.5 ZeroExtend32x0.8
MOVUPS	m,r	[b]	128	35	0.08	5.00	4.80	0.06	0.04	0.01	0.01	LoadUniformx1.1 AdvancePCx1.0 GetOperandx1.0 StoreMemoryx1.0 BitCastx0.7
CMP	m,i	[b]	32	19	0.04	9.00	17.42	0.06	0.08	0.02	0.04	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Subx1.0 LoadMemoryx1.0
INC	m	[rip]	64	13	0.03	13.00	40.69	0.06	0.13	0.00	0.00	LoadImmx2.7 GetOperandx1.3 StoreUniformx1.0 AdvancePCx1.0 SetCarryx1.0
CMOVB	r,r	-	64	24	0.05	7.00	8.08	0.06	0.05	0.00	0.00	AdvancePCx0.9 StoreUniformx0.9 TestFlagsx0.9 TestNotZerox0.9 Selectx0.9
XOR	r,m	[abs]	64	15	0.03	11.20	14.40	0.06	0.05	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 ClearFlagsx1.0 BitCastx1.0
SQRTPS	r,r	-	128	33	0.07	5.00	7.00	0.06	0.06	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecFUnaryx1.0 StoreUniformx1.0
HLT	-	-	0	55	0.12	3.00	5.00	0.06	0.07	0.00	0.00	StoreUniformx1.0 LoadImmx1.0 SetLocationx1.0
FSTP	m	[rip]	80	33	0.07	5.00	33.00	0.06	0.27	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
MOV	m,r	[abs]	64	27	0.06	6.00	5.22	0.06	0.03	0.00	0.00	LoadUniformx1.3 AdvancePCx1.0 GetOperandx1.0 Addx1.0 StoreMemoryx1.0
CMP	r,r	-	8	9	0.02	18.00	23.00	0.06	0.05	0.01	0.03	SaveFlagsx3.0 Subx3.0 LslImmx2.0 LoadImmx2.0 ZeroExtend32x2.0
FNSTSW	r	-	16	27	0.06	6.00	31.00	0.06	0.20	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
DEC	r	-	64	15	0.03	10.67	19.33	0.06	0.07	0.01	0.02	StoreUniformx2.0 LoadImmx2.0 LoadUniformx1.4 AdvancePCx1.0 SetCarryx1.0
MOVZX	r,m	[rip]	32	25	0.05	6.16	6.92	0.06	0.04	0.00	0.00	ZeroExtend32x1.8 AdvancePCx0.9 StoreUniformx0.9 LoadMemoryx0.9 ZeroExtend64x0.9
STOS	m,r	[b]	64	11	0.02	14.00	37.00	0.06	0.10	0.00	0.01	ZeroExtend64x3.0 BitCastx2.3 StoreUniformx2.0 LoadUniformx1.7 AdvancePCx1.0
NOP	m	[b+i*s+d]	16	77	0.17	2.00	1.00	0.06	0.02	0.02	0.00	AdvancePCx1.0 Nopx1.0
JG	imm	-	32	43	0.09	3.56	5.00	0.06	0.05	0.01	0.01	LoadImmx2.2 CondSelectx0.9 AdvancePCx0.4
MOVAPS	r,m	[b+d]	128	30	0.07	5.00	5.60	0.05	0.04	0.00	0.00	AdvancePCx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0 LoadUniformx0.6
OR	m,r	[rip]	32	15	0.03	10.00	14.00	0.05	0.05	0.00	0.00	GetOperandx2.0 StoreUniformx1.0 StoreMemoryx1.0 ClearFlagsx1.0 LoadMemoryx1.0
FLD	m	[rip]	64	30	0.07	5.00	32.00	0.05	0.23	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
PAND	r,r	-	128	29	0.06	5.00	2.41	0.05	0.02	0.00	0.00	BitCastx1.6 AdvancePCx1.0 StoreUniformx1.0 VecAndx1.0 LoadUniformx0.4
SHL	r,r	-	64	7	0.02	20.57	21.00	0.05	0.04	0.14	0.34	Andx3.0 LsrImmx2.0 LslValuex2.0 StoreUniformx1.7 BindLabelx1.0
MOVSXD	r,m	[b+d]	64	24	0.05	6.00	5.67	0.05	0.03	0.50	0.32	StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 AdvancePCx1.0 SignExtendx1.0
CDQE	-	-	0	41	0.09	3.41	2.56	0.05	0.03	0.04	0.01	AdvancePCx0.9 StoreUniformx0.9 SignExtendx0.9 BitExtractx0.7 LoadUniformx0.2
NOP	m	[b]	32	75	0.16	1.84	0.92	0.05	0.02	0.02	0.00	AdvancePCx0.9 Nopx0.9
PCMPGTD	r,r	-	128	26	0.06	5.00	2.23	0.05	0.01	0.00	0.00	BitCastx1.8 AdvancePCx1.0 StoreUniformx1.0 VecCmpGtx1.0 LoadUniformx0.2
NOP	-	-	0	65	0.14	2.00	1.00	0.05	0.02	0.01	0.00	AdvancePCx1.0 Nopx1.0
ADC	r,i	-	64	10	0.02	13.00	19.00	0.05	0.05	0.00	0.00	LoadImmx3.0 SaveFlagsx2.0 SetHostGPRx1.0 StoreUniformx1.0 Adcx1.0
SETNZ	r	-	8	22	0.05	5.82	7.27	0.05	0.04	0.01	0.01	LoadImmx2.9 AdvancePCx0.7 Selectx0.7 StoreUniformx0.7 CondSelectx0.7
MOVUPS	r,m	[b+i*s+d]	128	18	0.04	7.00	8.00	0.05	0.04	0.01	0.00	LoadUniformx2.0 AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0
CMP	m,i	[abs]	8	6	0.01	21.00	27.00	0.05	0.04	0.00	0.00	SaveFlagsx3.0 Subx3.0 LoadImmx3.0 LslImmx2.0 ZeroExtend32x2.0
BSR	r,r	-	32	9	0.02	13.67	40.67	0.04	0.09	0.00	0.00	ZeroExtend64x3.0 Andx2.0 LoadUniformx1.9 AdvancePCx1.0 ZeroExtend32x1.0
MOV	m,r	[b]	8	24	0.05	5.00	3.92	0.04	0.02	0.04	0.02	LoadUniformx1.2 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 BitExtractx0.5
MOV	m,i	[rip]	8	30	0.07	4.00	4.70	0.04	0.03	0.00	0.00	LoadImmx1.3 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx0.7
SBB	r,r	-	32	12	0.03	10.00	19.00	0.04	0.06	0.00	0.00	StoreUniformx2.0 LoadUniformx2.0 ZeroExtend64x1.0 ZeroExtend32x1.0 Sbbx1.0
PADDD	r,r	-	128	24	0.05	5.00	2.17	0.04	0.01	0.06	0.01	BitCastx1.8 AdvancePCx1.0 Vec4Addx1.0 StoreUniformx1.0 LoadUniformx0.2
MOVAPS	r,r	-	128	40	0.09	3.00	1.25	0.04	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 BitCastx0.8 LoadUniformx0.2
CALL	m	[b]	64	12	0.03	10.00	16.00	0.04	0.05	0.00	0.00	GetHostGPRx2.0 LoadMemoryx1.0 GetOperandx1.0 SetLocationx1.0 PushRSBx1.0
ANDPS	r,r	-	128	24	0.05	5.00	2.83	0.04	0.02	0.00	0.00	BitCastx1.2 AdvancePCx1.0 VecAndx1.0 StoreUniformx1.0 LoadUniformx0.8
MUL	r	-	64	7	0.02	17.00	23.86	0.04	0.04	0.00	0.01	StoreUniformx3.0 SaveFlagsx2.0 BitCastx1.3 AdvancePCx1.0 LoadImmx1.0
CALL	m	[b+i*s+d]	64	9	0.02	13.00	19.67	0.04	0.04	0.00	0.00	GetHostGPRx2.3 LoadImmx2.0 LoadMemoryx1.0 GetOperandx1.0 SetLocationx1.0
JMP	r	-	64	52	0.11	2.21	1.46	0.04	0.02	1.07	0.18	SetLocationx1.0 BitCastx0.5 LoadUniformx0.5 AdvancePCx0.2
SHR	r,i	-	8	5	0.01	22.00	27.00	0.04	0.03	0.00	0.00	Andx4.0 StoreUniformx2.0 LsrValuex2.0 LoadImmx2.0 BindLabelx1.0
TEST	r,r	-	16	12	0.03	9.00	16.00	0.04	0.05	0.00	0.01	BitExtractx2.0 StoreUniformx1.0 ClearFlagsx1.0 Andx1.0 SaveFlagsx1.0
MOVS	other	[b]	8	7	0.02	15.00	16.71	0.04	0.03	0.04	0.07	LoadUniformx2.6 StoreUniformx2.0 Selectx2.0 Addx2.0 Subx2.0
MOVSD	r,r	-	128	35	0.08	3.00	2.00	0.04	0.02	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadUniformx1.0
JLE	imm	-	32	30	0.07	3.47	5.00	0.04	0.04	0.00	0.00	LoadImmx2.3 CondSelectx0.9 AdvancePCx0.3
JG	imm	-	8	28	0.06	3.64	5.54	0.04	0.04	0.00	0.00	LoadImmx2.5 CondSelectx1.0 AdvancePCx0.1
FTST	-	-	0	20	0.04	5.00	31.00	0.04	0.15	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
PANDN	r,r	-	128	20	0.04	5.00	2.00	0.04	0.01	0.00	0.00	BitCastx2.0 AdvancePCx1.0 StoreUniformx1.0 VecAndNotx1.0
MOV	r,i	-	8	33	0.07	3.00	2.00	0.04	0.02	0.00	0.00	AdvancePCx1.0 LoadImmx1.0 SetHostGPRx1.0 StoreUniformx0.0
CMPXCHG8B	m	[b]	64	3	0.01	33.00	68.00	0.04	0.05	0.00	0.00	ZeroExtend64x6.0 Andx5.0 LoadUniformx3.0 StoreUniformx2.0 ZeroExtend32x2.0
XOR	r,m	[b+i*s+d]	64	20	0.04	4.95	7.40	0.04	0.04	0.00	0.00	StoreUniformx0.8 BitCastx0.7 AdvancePCx0.4 LoadImmx0.4 SaveFlagsx0.4
JNS	imm	-	8	31	0.07	3.19	5.00	0.04	0.04	0.00	0.00	LoadImmx2.0 CondSelectx1.0 AdvancePCx0.2
CMP	m,r	[rip]	32	12	0.03	8.00	17.00	0.03	0.05	0.00	0.00	LoadImmx1.1 StoreUniformx1.0 Subx1.0 LoadMemoryx1.0 SaveFlagsx1.0
CMPXCHG	m,r	[b]	64	12	0.03	8.00	26.58	0.03	0.08	0.00	0.01	StoreUniformx1.0 Andx1.0 BitCastx0.7 LoadUniformx0.6 TestZerox0.5
CMOVGE	r,r	-	64	12	0.03	8.00	9.25	0.03	0.03	0.00	0.00	LoadImmx2.0 LoadUniformx1.2 Selectx1.0 StoreUniformx1.0 CondSelectx1.0
MOVSX	r,m	[b]	32	12	0.03	8.00	6.33	0.03	0.02	0.02	0.01	StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 LoadMemoryx1.0 GetOperandx1.0
MOVSX	r,m	[b+d]	32	12	0.03	8.00	7.17	0.03	0.02	0.01	0.01	StoreUniformx1.0 ZeroExtend64x1.0 GetOperandx1.0 LoadMemoryx1.0 ZeroExtend32x1.0
MOVAPS	m,r	[b]	128	19	0.04	5.00	3.63	0.03	0.02	2.58	1.07	BitCastx1.2 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx0.6
CALL	r	-	64	9	0.02	10.33	17.00	0.03	0.04	0.00	0.00	LoadImmx2.7 GetHostGPRx1.3 SetLocationx1.0 PushRSBx1.0 StoreMemoryx1.0
ADC	r,i	-	32	6	0.01	15.00	23.00	0.03	0.03	0.00	0.00	LoadImmx3.0 StoreUniformx2.0 SaveFlagsx2.0 ZeroExtend64x1.0 ZeroExtend32x1.0
DIV	r	-	32	5	0.01	18.00	71.20	0.03	0.09	0.32	2.59	ZeroExtend64x5.0 ZeroExtend32x2.0 StoreUniformx2.0 CallLambdax2.0 BitExtractx1.6
ADD	r,m	[b]	64	9	0.02	10.00	17.33	0.03	0.04	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 BitCastx1.0
CMOVZ	r,r	-	32	9	0.02	10.00	12.00	0.03	0.03	0.00	0.00	LoadImmx2.0 BitExtractx1.1 ZeroExtend64x1.0 ZeroExtend32x1.0 Selectx1.0
CMP	m,r	[b+d]	32	10	0.02	9.00	16.00	0.03	0.04	0.01	0.02	StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 GetHostGPRx1.0
ROL	r,r	-	64	4	0.01	22.00	24.00	0.03	0.02	0.08	0.23	Andx4.0 StoreUniformx2.0 LoadImmx2.0 BindLabelx1.0 Xorx1.0
PSHUFD	r,r	-	128	22	0.05	4.00	12.55	0.03	0.07	0.12	0.18	AdvancePCx1.0 VecShuffle32x1.0 StoreUniformx1.0 LoadUniformx0.5 BitCastx0.5
XOR	r,i	-	64	10	0.02	8.80	13.00	0.03	0.03	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 ClearFlagsx1.0 Xorx1.0 AdvancePCx1.0
NOP	m	[b+i*s+d]	32	46	0.10	1.87	0.93	0.03	0.01	0.00	0.00	AdvancePCx0.9 Nopx0.9
MOV	m,i	[b]	8	17	0.04	5.00	3.88	0.03	0.02	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 LoadImmx1.0 LoadUniformx0.6
PCMPEQB	r,m	[b+d]	128	12	0.03	7.00	7.25	0.03	0.02	0.00	0.00	LoadUniformx1.2 AdvancePCx1.0 StoreUniformx1.0 VecCmpEqx1.0 LoadMemoryx1.0
MOVSXD	r,m	[b+i*s+d]	64	12	0.03	7.00	5.75	0.03	0.02	1.15	0.76	BitCastx1.2 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 AdvancePCx1.0
MOV	m,r	[b+i*s+d]	16	25	0.05	3.28	3.04	0.03	0.02	0.00	0.00	LoadUniformx1.2 StoreMemoryx0.5 GetOperandx0.5 AdvancePCx0.5 GetHostGPRx0.2
ADD	r,m	[rip]	64	9	0.02	9.00	17.00	0.03	0.04	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 BitCastx1.0 GetOperandx1.0
TEST	r,i	-	64	10	0.02	8.00	11.30	0.03	0.03	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Andx1.0 ClearFlagsx1.0
CMOVNS	r,r	-	64	10	0.02	8.00	8.20	0.03	0.02	0.00	0.00	LoadImmx2.0 BitCastx1.6 Selectx1.0 StoreUniformx1.0 CondSelectx1.0
CMOVL	r,r	-	32	8	0.02	10.00	12.00	0.03	0.02	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 AdvancePCx1.0
SETLE	m	[b+d]	8	8	0.02	10.00	12.00	0.03	0.02	0.00	0.00	LoadImmx4.0 StoreMemoryx1.0 GetOperandx1.0 CondSelectx1.0 GetHostGPRx1.0
MOVAPS	r,m	[rip]	128	20	0.04	4.00	6.00	0.03	0.03	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0
BT	r,r	-	32	6	0.01	13.00	15.00	0.03	0.02	0.01	0.01	ZeroExtend64x2.0 Andx2.0 StoreUniformx1.0 SaveFlagsx1.0 Addx1.0
XCHG	m,r	[rip]	32	11	0.02	7.00	29.18	0.03	0.08	0.00	0.00	StoreUniformx1.0 ZeroExtend32x1.0 ZeroExtend64x1.0 AtomicExchangex1.0 AdvancePCx1.0
CMPXCHG	m,r	[rip]	64	5	0.01	15.00	53.80	0.03	0.07	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 Andx2.0 Subx1.0 Selectx1.0
BSF	r,r	-	32	5	0.01	15.00	46.00	0.03	0.06	0.02	0.08	ZeroExtend64x3.0 Andx2.0 LoadUniformx2.0 AdvancePCx1.0 ZeroExtend32x1.0
MOV	m,i	[b]	64	15	0.03	5.00	4.73	0.03	0.02	0.00	0.00	AdvancePCx1.0 GetOperandx1.0 StoreMemoryx1.0 LoadImmx1.0 LoadUniformx0.9
PACKUSWB	r,r	-	128	15	0.03	5.00	3.00	0.03	0.01	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecPackx1.0 StoreUniformx1.0
PMULUDQ	r,r	-	128	15	0.03	5.00	4.80	0.03	0.02	0.00	0.00	BitCastx1.2 AdvancePCx1.0 StoreUniformx1.0 VecMulWidenx1.0 LoadUniformx0.8
CMP	r,m	[b+d]	64	8	0.02	9.00	15.75	0.03	0.03	0.00	0.01	BitCastx1.2 StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0
ADD	m,r	[b]	64	6	0.01	12.00	21.00	0.03	0.03	0.00	0.00	LoadUniformx3.0 GetOperandx2.0 StoreMemoryx1.0 StoreUniformx1.0 AdvancePCx1.0
CMP	r,i	-	16	4	0.01	18.00	24.00	0.03	0.02	0.00	0.00	SaveFlagsx3.0 Subx3.0 LoadImmx3.0 LslImmx2.0 ZeroExtend32x2.0
CMP	m,i	[b+i*s+d]	64	7	0.02	10.14	17.29	0.03	0.03	0.00	0.00	LoadImmx2.0 LoadUniformx1.1 StoreUniformx1.0 SaveFlagsx1.0 Subx1.0
ROR	r,i	-	64	3	0.01	23.00	28.00	0.02	0.02	0.00	0.00	Andx4.0 LoadImmx3.0 StoreUniformx2.0 LsrImmx2.0 BindLabelx1.0
JMP	m	[rip]	64	18	0.04	3.83	4.17	0.02	0.02	0.02	0.01	SetLocationx1.0 LoadMemoryx1.0 AdvancePCx0.8 LoadImmx0.8 GetOperandx0.2
MOVS	other	[b]	64	3	0.01	23.00	54.00	0.02	0.04	0.01	0.09	StoreUniformx3.0 LoadUniformx3.0 Subx2.0 Selectx2.0 Addx2.0
MOV	m,i	[b+i*s+d]	8	11	0.02	6.18	5.27	0.02	0.01	0.00	0.00	StoreMemoryx1.0 LoadUniformx1.0 GetOperandx1.0 AdvancePCx1.0 LoadImmx1.0
MOVD	r,r	-	128	11	0.02	6.00	5.00	0.02	0.01	0.07	0.04	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 ZeroExtend64x1.0 LoadUniformx0.7
XOR	r,m	[b]	64	6	0.01	11.00	16.00	0.02	0.02	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 ClearFlagsx1.0
BSF	r,r	-	64	5	0.01	13.00	43.80	0.02	0.05	0.00	0.01	ZeroExtend64x2.0 Andx2.0 LoadUniformx1.8 AdvancePCx1.0 Selectx1.0
MOVDQU	r,m	[b]	128	13	0.03	5.00	5.85	0.02	0.02	0.02	0.02	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 LoadUniformx1.0
MOVD	r,r	-	32	13	0.03	5.00	4.00	0.02	0.01	0.00	0.00	StoreUniformx1.0 ZeroExtend64x1.0 AdvancePCx1.0 ZeroExtend32x1.0 LoadUniformx1.0
MOVQ	r,m	[b+d]	128	9	0.02	7.00	6.00	0.02	0.01	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 LoadMemoryx1.0 GetOperandx1.0
OR	m,i	[b]	64	5	0.01	12.60	14.80	0.02	0.02	0.00	0.00	GetOperandx2.0 GetHostGPRx2.0 LoadImmx2.0 StoreUniformx1.0 StoreMemoryx1.0
MOVUPS	m,r	[b+i*s+d]	128	9	0.02	7.00	7.67	0.02	0.02	0.00	0.00	LoadUniformx2.7 AdvancePCx1.0 GetOperandx1.0 Subx1.0 StoreMemoryx1.0
MOVDQU	m,r	[b+d]	128	12	0.03	5.00	4.00	0.02	0.01	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx1.0 BitCastx1.0
ADD	m,r	[b+d]	64	5	0.01	12.00	21.00	0.02	0.03	0.02	0.04	LoadUniformx2.6 GetOperandx2.0 StoreMemoryx1.0 StoreUniformx1.0 AdvancePCx1.0
CMP	m,i	[abs]	64	9	0.02	6.67	13.33	0.02	0.03	0.00	0.01	LoadImmx1.3 StoreUniformx0.7 SaveFlagsx0.7 Subx0.7 LoadMemoryx0.7
XOR	r,r	-	8	6	0.01	10.00	16.00	0.02	0.02	0.01	0.01	StoreUniformx2.0 BitExtractx1.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0
PUNPCKLDQ	r,r	-	128	12	0.03	5.00	2.50	0.02	0.01	0.00	0.00	BitCastx1.5 AdvancePCx1.0 VecZipx1.0 StoreUniformx1.0 LoadUniformx0.5
SUB	r,m	[b+d]	32	5	0.01	12.00	19.00	0.02	0.02	0.01	0.03	StoreUniformx2.0 ZeroExtend64x1.0 SaveFlagsx1.0 GetHostGPRx1.0 Subx1.0
AND	r,i	-	16	6	0.01	10.00	16.00	0.02	0.02	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 SaveFlagsx1.0 Orx1.0 Andx1.0
FISTP	m	[rip]	32	12	0.03	5.00	33.00	0.02	0.10	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
CMPXCHG16B	m	[b]	128	3	0.01	19.67	59.33	0.02	0.04	0.00	0.00	LoadUniformx2.7 VecExtract64x2.0 Xorx2.0 StoreUniformx2.0 BitCastx1.3
NOT	r	-	64	14	0.03	4.00	3.07	0.02	0.01	0.01	0.00	AdvancePCx1.0 Xorx1.0 StoreUniformx1.0 BitCastx0.9 LoadUniformx0.1
CMP	r,m	[b+i*s+d]	64	5	0.01	11.00	18.80	0.02	0.02	0.00	0.00	LoadUniformx1.6 StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0
IDIV	r	-	64	6	0.01	9.00	59.50	0.02	0.09	0.00	0.00	BitCastx2.5 CallLambdax2.0 StoreUniformx2.0 SignExtendx1.0 AdvancePCx1.0
MOVQ	r,m	[rip]	128	9	0.02	6.00	6.67	0.02	0.01	0.00	0.00	StoreUniformx2.0 LoadImmx1.3 AdvancePCx1.0 LoadMemoryx1.0 GetOperandx0.7
SAR	r,r	-	64	3	0.01	17.00	18.00	0.02	0.01	0.00	0.00	StoreUniformx2.0 AsrValuex2.0 LoadImmx2.0 Andx2.0 Subx1.0
