# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
SHR	r,i	-	32	136	0.30	17.49	19.24	0.86	0.64	0.35	0.78	Andx2.5 StoreUniformx1.7 LsrValuex1.7 LoadImmx1.7 ZeroExtend32x0.8
ADD	r,r	-	64	305	0.67	7.76	13.91	0.85	1.04	3.42	5.45	StoreUniformx1.9 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 Addx1.0
SUB	r,r	-	64	301	0.66	7.84	14.07	0.85	1.03	0.64	1.03	StoreUniformx1.9 AdvancePCx1.0 LoadImmx1.0 Subx1.0 SaveFlagsx1.0
LEA	r,m	[b+d]	64	638	1.40	3.53	3.23	0.81	0.50	3.15	1.16	AdvancePCx0.9 GetOperandx0.9 StoreUniformx0.8 GetHostGPRx0.4 LoadUniformx0.4
JNZ	imm	-	32	689	1.51	3.26	4.84	0.81	0.81	2.05	1.13	LoadImmx2.1 CondSelectx0.9 AdvancePCx0.3
CMP	r,i	-	64	359	0.79	6.06	12.02	0.79	1.05	0.72	0.99	LoadImmx1.7 SaveFlagsx0.9 Subx0.9 StoreUniformx0.9 AdvancePCx0.9
CMP	r,m	[b]	8	103	0.23	20.00	24.66	0.74	0.62	0.01	0.02	SaveFlagsx3.0 Subx3.0 LslImmx2.0 LoadImmx2.0 ZeroExtend32x2.0
SYSCALL	-	-	0	274	0.60	7.11	10.01	0.70	0.67	0.01	0.01	LoadImmx3.0 StoreUniformx3.0 SetLocationx1.0 AdvancePCx0.1
JMP	imm	-	8	1817	3.98	1.05	3.00	0.69	1.33	1.04	0.36	SetLocationx1.0 AdvancePCx0.0 LoadImmx0.0
MOV	r,m	[b+d]	32	270	0.59	6.77	6.25	0.66	0.41	0.12	0.09	AdvancePCx1.0 GetOperandx1.0 LoadMemoryx1.0 ZeroExtend32x1.0 ZeroExtend64x1.0
IMUL	r,r	-	64	101	0.22	16.85	22.10	0.61	0.55	0.46	1.16	StoreUniformx2.0 SaveFlagsx1.6 LoadImmx1.5 AdvancePCx1.0 LslImmx1.0
SHL	r,i	-	32	74	0.16	22.81	25.03	0.61	0.45	0.10	0.30	Andx3.0 StoreUniformx2.0 LsrImmx2.0 LslValuex2.0 LoadImmx2.0
LEA	r,m	[b+i*s+d]	64	337	0.74	4.99	4.05	0.61	0.33	0.79	0.37	AdvancePCx0.9 GetOperandx0.9 StoreUniformx0.9 BitCastx0.8 LoadUniformx0.7
MOV	m,r	[rip]	64	411	0.90	4.00	4.09	0.59	0.41	0.04	0.02	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx0.8 BitCastx0.6 LoadUniformx0.3
INC	r	-	64	133	0.29	10.67	16.53	0.51	0.54	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 LoadUniformx1.5 Addx1.0 AdvancePCx1.0
TEST	m,i	[rip]	8	135	0.30	10.00	18.02	0.49	0.59	0.01	0.02	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 ClearFlagsx1.0 Andx1.0
ADD	r,i	-	32	174	0.38	7.59	13.19	0.48	0.56	0.99	1.49	LoadImmx1.5 StoreUniformx1.5 ZeroExtend64x0.8 ZeroExtend32x0.8 SaveFlagsx0.8
CMP	m,i	[rip]	8	78	0.17	16.81	25.92	0.47	0.49	0.02	0.06	LoadImmx3.4 SaveFlagsx2.7 Subx2.7 LslImmx1.8 ZeroExtend32x1.8
CMP	m,i	[b+d]	8	65	0.14	20.00	27.00	0.47	0.43	0.08	0.26	SaveFlagsx3.0 Subx3.0 LoadImmx3.0 LslImmx2.0 ZeroExtend32x2.0
MOV	r,m	[rip]	64	349	0.76	3.62	4.11	0.46	0.35	0.05	0.02	AdvancePCx0.9 LoadMemoryx0.9 StoreUniformx0.8 GetOperandx0.5 LoadImmx0.4
MOVZX	r,m	[b+i*s+d]	32	138	0.30	8.90	7.72	0.44	0.26	0.06	0.05	ZeroExtend32x1.9 AdvancePCx0.9 ZeroExtend64x0.9 GetOperandx0.9 LoadMemoryx0.9
JA	imm	-	8	157	0.34	7.73	11.94	0.44	0.46	0.10	0.14	LoadImmx2.5 Andx1.0 CondSelectx1.0 TestZerox1.0 Xorx1.0
MOVZX	r,m	[b]	32	146	0.32	8.00	7.03	0.42	0.25	0.13	0.10	ZeroExtend32x2.0 AdvancePCx1.0 StoreUniformx1.0 GetOperandx1.0 LoadMemoryx1.0
TEST	r,i	-	32	142	0.31	8.00	12.15	0.41	0.42	0.03	0.05	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Andx1.0 ClearFlagsx1.0
AND	r,i	-	64	137	0.30	7.85	9.72	0.39	0.33	0.04	0.04	LoadImmx1.8 StoreUniformx1.7 ClearFlagsx0.9 Andx0.9 AdvancePCx0.9
MOV	m,i	[b+d]	64	209	0.46	5.00	4.40	0.38	0.22	0.04	0.02	LoadImmx1.0 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx0.6
XOR	r,r	-	64	131	0.29	7.84	9.47	0.37	0.30	0.53	0.58	StoreUniformx1.8 AdvancePCx0.9 LoadImmx0.9 Xorx0.9 ClearFlagsx0.9
JMP	imm	-	32	584	1.28	1.74	3.30	0.37	0.47	0.56	0.21	SetLocationx0.9 LoadImmx0.5 AdvancePCx0.3
MOVZX	r,m	[b+d]	32	124	0.27	8.00	7.63	0.36	0.23	0.59	0.52	ZeroExtend32x2.0 AdvancePCx1.0 StoreUniformx1.0 GetOperandx1.0 LoadMemoryx1.0
MOV	r,m	[b]	64	203	0.44	4.67	3.64	0.34	0.18	0.57	0.24	AdvancePCx0.9 LoadMemoryx0.9 GetOperandx0.9 StoreUniformx0.8 LoadUniformx0.5
LEA	r,m	[b+d]	32	173	0.38	5.48	5.47	0.34	0.23	0.35	0.22	AdvancePCx0.9 ZeroExtend64x0.9 ZeroExtend32x0.9 GetOperandx0.9 StoreUniformx0.9
MOVDQA	r,m	[rip]	128	233	0.51	4.00	5.96	0.34	0.34	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 LoadImmx0.0
(endbr64)	-	-	0	462	1.01	2.00	1.00	0.33	0.11	0.20	0.02	AdvancePCx1.0 Nopx1.0
